subscriber_id,signup_date,plan_tier,region,churn
sub_00001,2025-04-14,Standard,North America,1
sub_00002,2023-12-10,Premium,Europe,0
sub_00003,2024-03-05,Basic,Europe,1
sub_00004,2024-08-06,Standard,Europe,0
sub_00005,2024-08-10,Premium,North America,0
sub_00006,2023-10-11,Standard,North America,0
sub_00007,2025-04-16,Standard,North America,1
sub_00008,2024-02-03,Standard,North America,0
sub_00009,2025-01-23,Basic,APAC,1
sub_00010,2025-04-10,Standard,North America,0
sub_00011,2024-06-05,Basic,Europe,1
sub_00012,2023-07-19,Basic,Europe,0
sub_00013,2024-01-07,Standard,APAC,0
sub_00014,2023-12-20,Standard,North America,0
sub_00015,2024-01-20,Premium,North America,0
sub_00016,2023-12-02,Basic,North America,0
sub_00017,2024-06-14,Basic,Europe,0
sub_00018,2025-03-17,Premium,North America,1
sub_00019,2023-10-24,Basic,APAC,0
sub_00020,2024-07-29,Basic,North America,1
sub_00021,2024-06-23,Basic,North America,1
sub_00022,2024-09-24,Standard,North America,1
sub_00023,2025-02-06,Premium,APAC,0
sub_00024,2023-08-23,Premium,APAC,1
sub_00025,2023-12-05,Standard,APAC,1
sub_00026,2024-03-12,Basic,Europe,0
sub_00027,2024-09-01,Basic,APAC,0
sub_00028,2023-11-05,Standard,Europe,1
sub_00029,2024-05-22,Basic,North America,1
sub_00030,2024-08-03,Basic,Europe,0
sub_00031,2024-07-29,Basic,APAC,0
sub_00032,2025-01-05,Basic,North America,0
sub_00033,2025-04-12,Standard,Europe,0
sub_00034,2024-05-15,Standard,Europe,0
sub_00035,2023-09-20,Basic,Europe,1
sub_00036,2025-05-02,Standard,North America,1
sub_00037,2023-10-11,Premium,Europe,0
sub_00038,2023-11-02,Standard,APAC,1
sub_00039,2024-11-30,Premium,North America,0
sub_00040,2024-03-21,Standard,North America,1
sub_00041,2025-02-18,Premium,North America,1
sub_00042,2023-12-22,Basic,North America,1
sub_00043,2024-02-01,Basic,Latin America,0
sub_00044,2024-10-06,Basic,Europe,1
sub_00045,2025-04-29,Standard,North America,0
sub_00046,2023-07-22,Basic,North America,0
sub_00047,2024-08-01,Basic,Latin America,0
sub_00048,2023-09-16,Premium,North America,0
sub_00049,2024-02-17,Basic,APAC,1
sub_00050,2023-12-07,Basic,North America,0
sub_00051,2023-12-20,Basic,North America,0
sub_00052,2025-01-28,Standard,Europe,1
sub_00053,2024-09-29,Basic,North America,1
sub_00054,2024-07-17,Basic,Europe,1
sub_00055,2024-06-25,Basic,North America,0
sub_00056,2025-05-16,Premium,APAC,0
sub_00057,2024-05-21,Premium,APAC,1
sub_00058,2025-02-26,Standard,APAC,1
sub_00059,2024-01-01,Standard,North America,1
sub_00060,2024-02-13,Premium,APAC,1
sub_00061,2023-08-26,Premium,Latin America,0
sub_00062,2023-12-31,Standard,North America,0
sub_00063,2024-09-27,Premium,North America,1
sub_00064,2023-07-25,Premium,APAC,1
sub_00065,2024-08-26,Premium,North America,0
sub_00066,2024-10-26,Standard,Europe,1
sub_00067,2023-09-07,Basic,APAC,1
sub_00068,2024-09-24,Basic,North America,1
sub_00069,2025-04-23,Standard,Europe,1
sub_00070,2024-07-15,Standard,Europe,0
sub_00071,2023-11-25,Standard,North America,0
sub_00072,2025-02-01,Standard,APAC,1
sub_00073,2024-07-20,Standard,North America,1
sub_00074,2025-03-15,Premium,North America,1
sub_00075,2024-02-11,Basic,APAC,1
sub_00076,2024-07-11,Basic,North America,0
sub_00077,2024-10-23,Premium,APAC,0
sub_00078,2025-01-05,Premium,North America,1
sub_00079,2024-05-08,Premium,Europe,0
sub_00080,2024-02-23,Premium,North America,1
sub_00081,2023-08-13,Premium,Europe,0
sub_00082,2024-08-07,Basic,APAC,1
sub_00083,2025-02-21,Standard,APAC,0
sub_00084,2023-10-29,Basic,Latin America,1
sub_00085,2024-03-23,Standard,Europe,0
sub_00086,2024-02-01,Premium,APAC,1
sub_00087,2025-04-08,Basic,Europe,1
sub_00088,2024-11-05,Standard,Latin America,1
sub_00089,2023-12-15,Basic,Europe,0
sub_00090,2023-10-30,Basic,APAC,1
sub_00091,2024-08-09,Basic,North America,0
sub_00092,2023-11-18,Basic,Europe,1
sub_00093,2023-10-23,Premium,APAC,1
sub_00094,2024-09-12,Standard,North America,1
sub_00095,2023-09-12,Premium,North America,0
sub_00096,2024-11-22,Standard,Latin America,0
sub_00097,2024-12-27,Basic,Europe,0
sub_00098,2024-02-14,Basic,North America,0
sub_00099,2024-03-18,Premium,North America,0
sub_00100,2025-03-08,Basic,North America,1
sub_00101,2023-10-29,Premium,Europe,1
sub_00102,2025-01-24,Basic,Latin America,0
sub_00103,2023-11-18,Standard,Latin America,0
sub_00104,2025-06-11,Premium,Europe,1
sub_00105,2023-11-24,Basic,Europe,1
sub_00106,2023-12-01,Basic,North America,0
sub_00107,2023-12-06,Premium,APAC,0
sub_00108,2024-02-26,Basic,North America,0
sub_00109,2024-07-14,Standard,North America,0
sub_00110,2024-01-29,Standard,Latin America,1
sub_00111,2024-11-30,Basic,APAC,0
sub_00112,2023-12-05,Premium,North America,0
sub_00113,2024-05-15,Premium,Europe,0
sub_00114,2024-07-23,Basic,Europe,0
sub_00115,2024-06-19,Premium,North America,1
sub_00116,2024-05-05,Basic,North America,0
sub_00117,2025-05-21,Basic,North America,0
sub_00118,2025-03-08,Standard,Europe,0
sub_00119,2024-12-23,Premium,Europe,0
sub_00120,2025-03-26,Basic,Europe,0
sub_00121,2024-08-06,Basic,North America,0
sub_00122,2024-02-24,Standard,Latin America,0
sub_00123,2024-03-05,Premium,Europe,0
sub_00124,2024-07-14,Basic,APAC,0
sub_00125,2023-10-13,Basic,North America,1
sub_00126,2024-05-08,Standard,Europe,0
sub_00127,2025-04-21,Basic,APAC,0
sub_00128,2023-12-17,Basic,North America,1
sub_00129,2024-05-01,Basic,North America,0
sub_00130,2024-03-19,Standard,North America,1
sub_00131,2024-05-08,Standard,North America,0
sub_00132,2024-05-16,Premium,Europe,0
sub_00133,2025-04-13,Standard,North America,1
sub_00134,2024-05-12,Standard,North America,0
sub_00135,2023-11-25,Premium,Europe,1
sub_00136,2024-11-11,Standard,North America,0
sub_00137,2024-04-11,Standard,North America,0
sub_00138,2025-05-25,Premium,Europe,0
sub_00139,2024-10-11,Basic,North America,0
sub_00140,2024-08-08,Standard,North America,0
sub_00141,2023-07-14,Premium,North America,0
sub_00142,2025-01-14,Basic,North America,0
sub_00143,2024-11-30,Standard,Europe,0
sub_00144,2024-08-28,Basic,North America,0
sub_00145,2023-07-07,Basic,North America,0
sub_00146,2023-10-14,Standard,Latin America,0
sub_00147,2025-05-23,Basic,Latin America,1
sub_00148,2024-12-31,Premium,North America,0
sub_00149,2023-11-06,Premium,North America,0
sub_00150,2025-05-06,Premium,Europe,1
sub_00151,2023-10-13,Basic,APAC,1
sub_00152,2024-11-27,Basic,APAC,0
sub_00153,2023-08-29,Basic,North America,0
sub_00154,2024-11-18,Basic,North America,0
sub_00155,2024-08-10,Premium,North America,1
sub_00156,2024-02-29,Standard,APAC,0
sub_00157,2025-03-18,Basic,APAC,1
sub_00158,2024-05-14,Premium,North America,1
sub_00159,2024-06-20,Basic,Europe,0
sub_00160,2023-12-03,Basic,North America,1
sub_00161,2023-07-04,Basic,Europe,1
sub_00162,2024-02-27,Standard,Latin America,0
sub_00163,2024-08-28,Premium,Europe,0
sub_00164,2024-08-30,Basic,North America,0
sub_00165,2024-08-21,Premium,Europe,0
sub_00166,2023-11-12,Premium,North America,1
sub_00167,2024-10-30,Premium,APAC,1
sub_00168,2025-02-17,Basic,North America,0
sub_00169,2024-10-20,Basic,APAC,0
sub_00170,2025-05-31,Premium,North America,1
sub_00171,2025-04-02,Basic,North America,0
sub_00172,2025-04-13,Standard,North America,1
sub_00173,2023-12-12,Premium,North America,0
sub_00174,2024-01-16,Basic,North America,1
sub_00175,2024-02-04,Premium,Europe,1
sub_00176,2024-07-21,Premium,North America,0
sub_00177,2024-01-20,Standard,North America,0
sub_00178,2025-02-21,Standard,North America,1
sub_00179,2023-09-11,Premium,North America,0
sub_00180,2024-06-23,Standard,APAC,0
sub_00181,2023-08-15,Standard,Latin America,0
sub_00182,2025-02-27,Premium,North America,0
sub_00183,2024-06-25,Standard,APAC,0
sub_00184,2024-02-04,Basic,APAC,1
sub_00185,2024-06-27,Basic,Latin America,1
sub_00186,2024-08-01,Basic,North America,0
